scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,std_dev,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_return,rari,net_return,fund_size_category,return_consistency,cluster,risk_cluster_label,investment_score
Aditya Birla SL Digital India Fund,100,1000,0.88,3338.0,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1,20.505,0.9708806818181818,19.625,Mid (500–5K Cr),45.85416999491311,0,📈 High Return / Moderate Risk,50.78
Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,850.0,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10.0,16.415,1.0409004438807865,14.685,Mid (500–5K Cr),60.4218628254605,0,📈 High Return / Moderate Risk,41.89
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795.0,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8.0,6.0,7.0,2.1739130434782608,6.36,Mid (500–5K Cr),72.45250003122969,1,⭐ High Return / Low Risk,36.85
Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,4836.0,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9,9.38,0.5326519023282226,8.239999999999998,Mid (500–5K Cr),57.36344359137473,0,📈 High Return / Moderate Risk,33.65
Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,7046.0,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7,9.464999999999998,0.7371495327102803,8.454999999999998,Large (5K–20K Cr),60.44176862920106,0,📈 High Return / Moderate Risk,37.0
Aditya Birla SL Equity Savings Fund,1000,1000,1.21,451.0,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9,7.36,1.0775988286969254,6.15,Small (<500 Cr),68.03042782097299,1,⭐ High Return / Low Risk,33.67
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449.0,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25.0,10.4,13.010000000000002,0.7837349397590362,12.150000000000002,Large (5K–20K Cr),59.92977892446103,0,📈 High Return / Moderate Risk,39.61
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364.0,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8,6.459999999999999,5.666666666666666,6.229999999999999,Large (5K–20K Cr),72.99001073527805,1,⭐ High Return / Low Risk,43.44
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633.0,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24.0,10.7,13.074999999999998,0.8126165320074579,12.014999999999995,Large (5K–20K Cr),61.13115954353211,0,📈 High Return / Moderate Risk,38.65
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159.0,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7,12.909999999999998,1.1005967604433076,12.689999999999998,Small (<500 Cr),63.85936534711965,0,📈 High Return / Moderate Risk,45.45
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14.0,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2,9.285,1.6912568306010929,8.945,Small (<500 Cr),69.16859797164024,1,⭐ High Return / Low Risk,43.08
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28.0,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4,11.025,1.2879672897196262,10.665,Small (<500 Cr),66.66374055898221,0,📈 High Return / Moderate Risk,43.43
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131.0,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6,14.295,0.8923220973782772,13.265,Giant (>20K Cr),60.99279970900672,0,📈 High Return / Moderate Risk,41.38
Aditya Birla SL Global Emerging Oppt Fund,100,100,0.7,261.0,10,Vinod Narayan Bhat,0.98,1.855,16.64,0.86,0.7,6,Aditya Birla Sun Life Mutual Fund,0,Other,FoFs Overseas,-5.7,18.8,8.3,9.175,0.5513822115384616,8.475000000000001,Small (<500 Cr),61.2017369859679,0,📈 High Return / Moderate Risk,35.08
Aditya Birla SL Gold Fund,100,100,0.15,278.0,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic,11.8,12.1,13.2,12.535,0.902447804175666,12.385,Small (<500 Cr),72.75622155137955,0,📈 High Return / Moderate Risk,39.8
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0,6.42,1.9164179104477608,6.13,Mid (500–5K Cr),71.29030481204832,1,⭐ High Return / Low Risk,34.92
Aditya Birla SL Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7,6.65,2.021276595744681,6.16,Mid (500–5K Cr),71.22176969264265,1,⭐ High Return / Low Risk,34.61
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3,15.655,1.0485599464166109,14.835,Mid (500–5K Cr),63.25663434437439,0,📈 High Return / Moderate Risk,45.18
Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562.0,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,19.3,0.8570159857904086,17.6,Mid (500–5K Cr),59.3284704007311,0,📈 High Return / Moderate Risk,43.26
Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108.0,10,Vinod Narayan Bhat,1.28,1.855,13.99,0.86,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4,11.055,0.7902072909220872,9.305,Small (<500 Cr),65.06935930514112,0,📈 High Return / Moderate Risk,31.63
Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90.0,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6,10.544999999999998,0.6469325153374231,8.394999999999998,Small (<500 Cr),60.0574358397316,0,📈 High Return / Moderate Risk,28.98
Aditya Birla SL Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4,5.11,13.102564102564102,4.9,Giant (>20K Cr),72.81264710240735,1,⭐ High Return / Low Risk,39.57
Aditya Birla SL Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,4.76,3.33,0.97,1.0,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0,6.565,6.768041237113402,6.175,Large (5K–20K Cr),72.83758917853255,1,⭐ High Return / Low Risk,44.92
Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613.0,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8,10.075,0.6694352159468437,8.514999999999999,Mid (500–5K Cr),61.10207266999328,0,📈 High Return / Moderate Risk,32.37
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6,13.365000000000002,1.245573159366263,12.505000000000004,Mid (500–5K Cr),66.72551703661618,0,📈 High Return / Moderate Risk,42.63
Aditya Birla SL Midcap Fund,1000,1000,1.2,3436.0,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3,12.814999999999998,0.7757263922518158,11.614999999999998,Mid (500–5K Cr),57.53369644362155,0,📈 High Return / Moderate Risk,39.09
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,5.96,8.76470588235294,5.75,Large (5K–20K Cr),73.03145281561106,1,⭐ High Return / Low Risk,45.11
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6,14.285,0.857957957957958,13.965,Small (<500 Cr),61.06312788382219,0,📈 High Return / Moderate Risk,44.3
Aditya Birla SL Overnight Fund,0,5000,0.07,13399.0,4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,8.9,6.45,18.42857142857143,6.38,Large (5K–20K Cr),70.92753231123932,1,⭐ High Return / Low Risk,36.22
Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798.0,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,29.8,4.3,12.965,0.6885289431757834,11.845,Mid (500–5K Cr),58.38163778081516,0,📈 High Return / Moderate Risk,40.25
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,9.004999999999999,1.8760416666666664,8.084999999999999,Mid (500–5K Cr),68.30071005857845,1,⭐ High Return / Low Risk,43.78
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258.0,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0.0,17.9,8.9,10.27,0.6874163319946452,9.21,Small (<500 Cr),64.54328647614902,0,📈 High Return / Moderate Risk,32.85
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91.0,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15.0,8.9,9.235,0.7786677908937605,8.165,Small (<500 Cr),65.89706201596249,0,📈 High Return / Moderate Risk,32.83
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27.0,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3.0,4.6,8.9,6.215,2.0785953177257523,5.585,Small (<500 Cr),70.4421037704843,1,⭐ High Return / Low Risk,29.05
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26.0,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,8.9,6.195,2.828767123287671,5.345000000000001,Small (<500 Cr),70.40086907267103,1,⭐ High Return / Low Risk,28.98
Aditya Birla SL Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,6.055,7.967105263157895,5.715,Large (5K–20K Cr),72.98017288701807,1,⭐ High Return / Low Risk,44.23
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,7.25,3.536585365853659,6.87,Large (5K–20K Cr),72.21923204072166,1,⭐ High Return / Low Risk,42.71
Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901.0,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,13.03,0.6730371900826447,11.990000000000002,Mid (500–5K Cr),55.721914029281066,0,📈 High Return / Moderate Risk,39.92
Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755.0,10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3.0,16.1,5.8,7.645,0.4993468321358589,6.715,Large (5K–20K Cr),63.93352131733576,1,⭐ High Return / Low Risk,29.77
AXIS All Seasons Debt Fund,1000,5000,0.22,161.0,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,8.9,7.115,3.453883495145631,6.8950000000000005,Small (<500 Cr),71.36495336558349,1,⭐ High Return / Low Risk,39.15
AXIS Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,5.355,7.875,5.045000000000001,Mid (500–5K Cr),73.08918784253002,1,⭐ High Return / Low Risk,38.99
AXIS Balanced Advantage Fund,1000,500,0.7,2077.0,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8.0,8.18,1.011124845488257,7.479999999999999,Mid (500–5K Cr),67.8506386390964,1,⭐ High Return / Low Risk,35.61
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2,6.38,4.253333333333333,6.05,Large (5K–20K Cr),72.10649009344844,1,⭐ High Return / Low Risk,39.31
AXIS Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,10.28,0.652284263959391,9.65,Giant (>20K Cr),61.20621240270597,0,📈 High Return / Moderate Risk,34.75
AXIS Children’s Gift Fund,1000,5000,1.06,685.0,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1,9.475,0.7305319969159598,8.415,Mid (500–5K Cr),61.07466428856797,0,📈 High Return / Moderate Risk,34.32
AXIS Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,6.890000000000001,3.3446601941747574,6.670000000000001,Mid (500–5K Cr),72.04649740334871,1,⭐ High Return / Low Risk,40.68
AXIS Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8,6.73,4.154320987654321,5.92,Mid (500–5K Cr),72.46701274307338,1,⭐ High Return / Low Risk,40.42
AXIS Dynamic Bond Fund,1000,5000,0.26,1733.0,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7,6.42,1.6762402088772843,6.16,Mid (500–5K Cr),71.27447446554375,1,⭐ High Return / Low Risk,34.39
AXIS Equity Hybrid Fund,1000,500,0.89,1699.0,5,Ashish Naik,2.37,-1.88,13.0,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,8.9,9.114999999999998,0.701153846153846,8.224999999999998,Mid (500–5K Cr),62.23885244173371,0,📈 High Return / Moderate Risk,34.89
AXIS Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,8.685,1.1549202127659577,7.805000000000001,Mid (500–5K Cr),67.75370470385539,1,⭐ High Return / Low Risk,36.55
AXIS Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3,10.14,0.6263125386040764,9.44,Large (5K–20K Cr),59.696231886157015,0,📈 High Return / Moderate Risk,34.23
AXIS Floater Fund,1000,5000,0.16,416.0,2,Aditya Pagaria,2.87,1.855,12.3,0.86,1.29,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,18.5,8.9,11.64,0.946341463414634,11.48,Small (<500 Cr),66.87190317530973,0,📈 High Return / Moderate Risk,44.28
AXIS Focused 25 Fund,500,500,0.74,15139.0,10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9,6.244999999999999,0.3314755838641188,5.504999999999999,Large (5K–20K Cr),57.88340029568168,1,⭐ High Return / Low Risk,27.55
AXIS FTP – Series 104 – 1112Days,0,0,0.13,110.0,4,Devang Shah,7.27,5.29,12.3,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,13.614999999999998,1.1069105691056909,13.484999999999998,Small (<500 Cr),71.71475682136888,0,📈 High Return / Moderate Risk,53.04
AXIS FTP – Series 109 – 111Days,0,0,0.0,565.0,1,Devang Shah,2.87,1.855,12.3,0.86,1.29,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0,13.614999999999998,1.1069105691056909,13.614999999999998,Mid (500–5K Cr),71.71475682136888,0,📈 High Return / Moderate Risk,47.34
AXIS Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9,6.42,2.2369337979094075,6.03,Small (<500 Cr),71.54311936745475,1,⭐ High Return / Low Risk,34.59
AXIS Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12.0,13.7,13.265,0.95431654676259,13.095,Small (<500 Cr),72.21661849748239,0,📈 High Return / Moderate Risk,40.74
AXIS Growth Opportunities Fund,1000,500,0.59,8053.0,4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,8.9,11.999999999999998,0.6936416184971097,11.409999999999998,Large (5K–20K Cr),57.02993929414976,0,📈 High Return / Moderate Risk,41.08
AXIS Liquid Fund,0,500,0.15,27226.0,10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4,5.075,13.355263157894736,4.925,Giant (>20K Cr),72.75622155137955,1,⭐ High Return / Low Risk,39.33
AXIS Long Term Equity Fund,500,500,0.85,28754.0,10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4,7.504999999999999,0.4024128686327077,6.654999999999999,Giant (>20K Cr),59.48036284854486,0,📈 High Return / Moderate Risk,28.48
AXIS Midcap Fund,500,500,0.57,18920.0,10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8,15.43,1.003903708523097,14.86,Large (5K–20K Cr),59.4070512883121,0,📈 High Return / Moderate Risk,43.92
AXIS Money Market Fund,1000,5000,0.21,4002.0,4,Devang Shah,4.81,2.81,0.62,1.22,1.91,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,8.9,7.015,11.314516129032258,6.805,Mid (500–5K Cr),71.52779663258869,1,⭐ High Return / Low Risk,46.21
AXIS Nifty 100 Index Fund,1000,500,0.15,953.0,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,8.9,12.45,0.7472989195678271,12.3,Mid (500–5K Cr),59.99617283582048,0,📈 High Return / Moderate Risk,42.93
AXIS Overnight Fund,0,500,0.05,12566.0,4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,8.9,6.45,18.42857142857143,6.4,Large (5K–20K Cr),70.92753231123932,1,⭐ High Return / Low Risk,36.75
AXIS Regular Saver Fund,1000,500,0.86,407.0,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7.0,7.324999999999999,1.56183368869936,6.464999999999999,Small (<500 Cr),68.92788307139324,1,⭐ High Return / Low Risk,36.89
AXIS Retirement Savings Fund,1000,5000,0.6,270.0,3,Jinesh Gopani,1.58,-4.95,13.43,0.85,0.79,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,8.9,8.504999999999999,0.633283693224125,7.904999999999999,Small (<500 Cr),65.87602817075575,1,⭐ High Return / Low Risk,33.39
AXIS Retirement Savings Fund,1000,5000,0.41,81.0,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,8.9,7.109999999999999,1.2495606326889277,6.699999999999999,Small (<500 Cr),66.47241191380631,1,⭐ High Return / Low Risk,36.67
AXIS Retirement Savings Fund,1000,5000,0.65,633.0,3,Jinesh Gopani,1.56,-4.49,13.03,0.78,0.76,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,14.0,8.9,8.084999999999999,0.6204911742133538,7.434999999999999,Mid (500–5K Cr),64.1604163735971,1,⭐ High Return / Low Risk,32.61
